,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Industry,Current Price,Mcap Cr,PE,D/E,RoE %,ROIC %,EV/EBITDA,Sales,Sales growth 5Years %,OP,OPM,PAT,NPM %,Profit growth 5Years,Reserves,Debt,CWIP,Inventory,Trade receivables,Total Assets,CFO,FCF,FCF 3Y,FCF 5Y,Promoter holding,Pledged percentage,Div Yield,DII 3Y,FII 3Y,Return over 1year,Return over 3years,Return over 5years,Return over 7years,Return over 10years,DMA 50,DMA 200
Indian Hotels Co,Hotels,766.6," 1,09,120",65,0.28,16,14,37,"8,335",13,"2,769",33%,"1,691",22,43,"11,018","3,084",576,135,651,"17,704","2,194","1,133","3,626","3,507",38,0,0.3,-9,11,35,51,60,28,24,780,739
Interarch Build.,Steel - Medium / Small,2156,"3,588",33,0.03,18,17,22,"1,454",15,136,9%,108,7,22,735,20,13,166,211,"1,114",54,-12,63,119,60,0,0.0,,,,,,,,"1,725","1,547"
Interglobe Aviat,Transport - Airlines,5319.6," 2,05,570",28,7.21,129,15,12,"80,803",18,"18,006",22%,"7,253",9,59,"8,920","67,088",1,820,740," 1,15,914","24,065","22,847","55,208","54,894",49,0,0.0,15,7,27,43,41,23,,"5,209","4,631"
ITC,Cigarettes,421.65," 5,27,658",27,0,27,44,18,"75,323",9,"25,978",34%,"19,862",27,5,"68,779",285,"1,088","15,638","4,720","88,091","17,627","15,524","45,431","69,891",0,0,3.4,2,28,8,20,19,8,8,427,430
J B Chemicals &,Pharmaceuticals - Indian - Bulk Drugs & Formln,1665.4,"25,937",39,0.01,21,20,24,"3,918",17,"1,032",26%,660,17,21,"3,418",22,47,529,815,"4,274",902,783,"1,185",972,48,0,0.7,2,9,-4,28,38,42,30,"1,627","1,693"
J K Cements,Cement - North India,5376.1,"41,540",53,0.99,14,9,21,"11,879",15,"2,027",17%,790,7,9,"6,012","6,028","1,317","1,175",787,"16,682","1,939",241,807,992,46,0,0.3,4,0,33,31,35,28,24,"5,018","4,646"
Jagsonpal Pharma,Pharmaceuticals - Indian - Bulk Drugs & Formln,231.65,"1,539",39,0.04,19,18,24,269,11,51,19%,40,15,38,227,9,0,15,13,278,55,91,173,207,68,0,0.9,-1,2,72,26,89,55,36,221,211
JM Financial,Finance & Investments,125.5,"11,997",16,1.18,8,29,8,"4,378",5,"2,290",52%,774,18,7,"9,632","11,507",10,130,646,"24,504","5,569","5,536","6,687","4,175",57,0,2.1,-2,-4,49,26,14,-2,9,107,109
K P R Mill Ltd,Textiles - Products,1156.75,"39,539",49,0.09,17,16,30,"6,388",14,"1,246",20%,815,13,17,"4,968",466,40,"1,869",586,"5,962","1,401","1,240","1,552","1,535",71,0,0.4,4,2,47,26,69,38,34,"1,061",957
KEI Industries,Cables - Power,3585.15,"34,257",49,0.04,16,14,31,"9,736",15,991,10%,696,7,22,"5,767",217,385,"1,730","1,797","7,235",-32,-726,-100,200,35,0,0.1,2,1,-15,43,66,33,47,"3,259","3,602"
Kovai Medical,Healthcare,6013.55,"6,579",32,0.43,22,17,17,"1,335",14,376,28%,206,15,25,963,420,68,17,29,"1,645",344,206,505,408,57,0,0.2,2,-1,40,57,59,25,26,"5,654","5,334"
KPIT Technologi.,Computers - Software - Medium / Small,1327,"36,379",43,0.12,33,29,25,"5,842",22,"1,230",21%,840,14,40,"2,640",345,9,85,755,"5,033","1,390","1,262","2,444","3,419",39,0,0.5,10,0,-12,41,93,,,"1,287","1,384"
Krishna Institu.,Healthcare,654.35,"26,183",69,1.2,19,14,35,"3,035",22,783,26%,377,13,27,"2,058","2,557","1,214",64,395,"5,736",582,-380,-645,-228,39,12,0.0,11,7,77,38,,,,635,574
L T Foods,Food - Processing - Indian,421,"14,619",24,0.33,17,14,14,"8,681",16,978,11%,605,7,26,"3,819","1,261",45,"4,360",752,"7,423",463,224,894,"1,605",51,0,0.5,3,8,99,69,73,27,40,371,355
Laurus Labs,Pharmaceuticals - Indian - Bulk Drugs & Formln,611.45,"32,973",92,0.62,8,7,31,"5,554",14,"1,055",19%,358,6,7,"4,365","2,764",458,"1,937","2,007","9,336",602,61,57,140,28,3,0.2,4,3,35,2,45,31,,600,550
Mankind Pharma,Pharmaceuticals - Indian - Bulk Drugs & Formln,2460.6," 1,01,519",51,0.59,17,10,31,"12,207",16,"3,018",25%,"1,986",16,15,"14,291","8,511",306,"2,094","1,538","27,760","2,413","1,895","4,653","4,056",73,0,0.0,,,16,,,,,"2,465","2,439"
Mrs Bectors,Food - Processing - Indian,1511.9,"9,283",65,0.13,23,19,33,"1,834",16,255,14%,143,9,33,"1,054",147,80,137,177,"1,501",153,-61,19,118,49,0,0.2,15,14,25,75,,,,"1,514","1,512"
Muthoot Finance,Finance & Investments,2089.7,"83,894",16,3.38,20,13,12,"20,214",16,"14,684",73%,"5,333",26,11,"28,965","99,383",13,0,12," 1,32,860","-26,376","-26,592","-43,510","-53,105",73,0,1.3,2,-1,18,23,19,27,27,"2,175","2,059"
Narayana Hrudaya,Healthcare,1717.1,"35,091",44,0.67,24,16,27,"5,483",12,"1,276",23%,796,15,44,"3,422","2,428",70,110,555,"7,265",986,-93,569,"1,039",64,0,0.2,-10,-1,46,39,45,33,,"1,701","1,469"
Neuland Labs.,Pharmaceuticals - Indian - Bulk Drugs,11118.4,"14,265",70,0.1,14,12,41,"1,477",14,323,22%,203,14,66,"1,512",157,45,386,316,"2,180",317,112,403,451,33,0,0.1,5,5,80,122,95,48,41,"11,972","11,889"
Newgen Software,Computers - Software - Medium / Small,1248,"17,675",56,0.04,23,21,39,"1,487",18,376,25%,315,21,34,"1,376",53,0,0,557,"2,045",215,192,579,914,54,0,0.3,2,4,44,88,78,39,,"1,097","1,100"
Pennar Industrie,Steel - Medium / Small,219.4,"2,961",26,0.91,12,14,11,"3,144",8,293,9%,112,3,8,863,852,128,898,463,"2,799",225,-22,289,293,40,3,0.0,2,4,54,81,71,22,16,190,178
Persistent Sys,Computers - Software - Large,5670.35,"88,684",63,0.05,25,26,40,"11,939",27,"2,058",17%,"1,400",12,34,"6,241",311,4,0,"1,848","8,737","1,157",964,"2,430","3,505",31,0,0.5,0,4,53,47,85,45,31,"5,454","5,326"
PG Electroplast,Electronics - Components,798.85,"22,635",79,0.14,15,12,42,"4,870",,484,10%,288,6,,"2,800",384,74,"1,316",980,"5,121",-77,-564,-712,-927,49,0,0.0,16,9,198,123,195,63,53,841,733
